,Rec - Storage of bare modules,Rec - Storage of flexes,Rec - PDB checks of bare modules,Rec - PDB checks of flexes,Rec - Metrology and Visual inspection of bare modules,Rec - Metrology and Visual inspection of flexes,Rec - Metrology weights of bare modules,Rec - Metrology weights of flexes,Rec - Sensor IV of bare modules,FA - Glue flex to bare module,FA - visual inspection of module,FA - Metrology weights of module,WB - Prepare wire-bonding requests,WB - Wire-bonding,WB - PDB Upload of wire-bonding pull-test results,I - Warm Electrical Testing,I - Cold Electrical Testing,P - Masking,P - Mask Curing,P - visual inspection after masking,P - Shipping,P - Transit,P - visual inspection after transit,P - Demasking,P - visual inspection after unmasking,P - Post Parylene Warm,P - Post Parylene cold chiller cooldown,P - Post Parylene Cold,P - Post Parylene X-ray,"WBP - Preparation, glue mixing, canopy attachment",WBP - Visual Inspection,WBP - Mass Measurement,WBP - Resistance Measurement,WBP - PDB Upload of visual inspection mass and resistance,WBP - MHT-PFA,TC - Cycle,TC - PDB Upload of thermal cycling data,TC - Back side metrology,TC - PDB Upload of back side metrology,LTS - MHT-PFA,F - Warm,F - Cold,F - X-ray,S - Packaging,S - PDB Shipment of modules to loading sites
2024-11-01 16:56:00,,,,,,,,,"('Operator7', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 17:16:00,,,,,,,,,,"('Operator10', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 17:46:00,,,,,,,,"('Operator6', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 09:00:00,,,,,,"('Operator8', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 09:20:00,,,,,,,,,,,"('Operator7', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 09:30:00,,,,,,,,,,,,"('Operator7', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 09:32:00,,,,,,,,,,,,,"('Operator2', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 09:52:00,,,,,,,,,,,,,,"('Operator10', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 13:00:00,,,,,,,,,,,,,,,"('Operator3', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 13:10:00,,,,,,,,,,,,,,,,"('Operator6', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 13:20:00,,,,,,,,,,,"('Operator10', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 13:30:00,,,,,,,,,,,,"('Operator10', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 13:32:00,,,,,,,,,,,,,"('Operator10', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 13:52:00,,,,,,,,,,,,,,"('Operator10', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 15:52:00,,,,,,,,,,,,,,,"('Operator7', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 16:02:00,,,,,,,,,,,,,,,,"('Operator8', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 16:12:00,,,,,,,,,,,,,,,,,"('Operator10', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 16:22:00,,,,"('Operator6', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 16:32:00,,,"('Operator6', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 16:42:00,,,,,"('Operator3', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 17:02:00,,,,,,,"('Operator1', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 17:04:00,,,,,,,,,"('Operator9', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 17:24:00,,,,,,,,,,"('Operator3', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 17:54:00,,,,,,,,"('Operator5', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 09:00:00,,,,,,"('Operator5', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 09:20:00,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 09:30:00,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 09:31:00,,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 09:41:00,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 09:51:00,,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 10:11:00,,,,,,,,,,,,,,,,,"('Operator7', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 10:21:00,,,,,,,,,,,"('Operator3', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 10:31:00,,,,,,,,,,,,"('Operator5', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 10:33:00,,,,,,,,,,,,,"('Operator7', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 13:00:00,,,,,,,,,,,,,,"('Operator10', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 15:00:00,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 15:10:00,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 15:11:00,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 15:21:00,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 15:31:00,,,,,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 15:51:00,,,,,,,,,,,,,,,"('Operator10', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 16:01:00,,,,,,,,,,,,,,,,"('Operator8', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 16:11:00,,,,"('Operator3', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 16:21:00,,,"('Operator6', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 16:31:00,,,,,"('Operator3', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 16:51:00,,,,,,,"('Operator5', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 16:53:00,,,,,,,,,"('Operator5', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 17:13:00,,,,,,,,,,"('Operator10', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 17:43:00,,,,,,,,"('Operator3', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 09:00:00,,,,,,"('Operator6', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 09:20:00,,,,,,,,,,,,,,,,,"('Operator3', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 09:30:00,,,,,,,,,,,"('Operator1', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 09:40:00,,,,,,,,,,,,"('Operator3', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 09:42:00,,,,,,,,,,,,,"('Operator4', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 13:00:00,,,,,,,,,,,,,,"('Operator10', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 15:00:00,,,,,,,,,,,,,,,,,,"('Operator3', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 15:10:00,,,,,,,,,,,,,,,,,,,"('Operator10', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 15:11:00,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 15:21:00,,,,,,,,,,,,,,,,,,,,,"('Operator5', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 15:31:00,,,,,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 15:51:00,,,,,,,,,,,,,,,"('Operator2', 'Operator4')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 16:01:00,,,,,,,,,,,,,,,,"('Operator3', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 16:11:00,,,,"('Operator1', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 16:21:00,,,"('Operator8', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 16:31:00,,,,,"('Operator6', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 16:51:00,,,,,,,"('Operator3', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 16:53:00,,,,,,,,,"('Operator9', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 17:13:00,,,,,,,,,,"('Operator6', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06 17:43:00,,,,,,,,"('Operator5', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 09:00:00,,,,,,"('Operator8', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 09:20:00,,,,,,,,,,,,,,,,,"('Operator1', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 09:30:00,,,,,,,,,,,"('Operator1', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 09:40:00,,,,,,,,,,,,"('Operator5', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 09:42:00,,,,,,,,,,,,,"('Operator4', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 13:00:00,,,,,,,,,,,,,,"('Operator3', 'Operator2')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 15:00:00,,,,,,,,,,,,,,,,,,"('Operator7', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 15:10:00,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 15:11:00,,,,,,,,,,,,,,,,,,,,"('Operator6', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 15:21:00,,,,,,,,,,,,,,,,,,,,,"('Operator8', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 15:31:00,,,,,,,,,,,,,,,,,,,,,,"('Operator9', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 15:51:00,,,,,,,,,,,,,,,"('Operator3', 'Operator2')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 16:01:00,,,,,,,,,,,,,,,,"('Operator1', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 16:11:00,,,,"('Operator6', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 16:21:00,,,"('Operator8', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 16:31:00,,,,,"('Operator3', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 16:51:00,,,,,,,"('Operator10', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 16:53:00,,,,,,,,,"('Operator5', 'Operator1')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 17:13:00,,,,,,,,,,"('Operator7', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-07 17:43:00,,,,,,,,"('Operator10', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-08 09:00:00,,,,,,"('Operator1', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-08 09:20:00,,,,,,,,,,,,,,,,,"('Operator3', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
